number,question,option_a,option_b,option_c,option_d,correct_answer,state
36,Welche Maßnahme schafft in Deutschland soziale Sicherheit?,die Krankenversicherung,die Autoversicherung,die Gebäudeversicherung,die Haftpflichtversicherung,A,Allgemein (alle Bundesländer)
37,Wie werden die Regierungschefs der meisten Bundesländer in Deutschland genannt?,Ministerpräsident / Ministerpräsidentin,Erster Minister / Erste Ministerin,Premierminister / Premierministerin,Senator / Senatorin,A,Allgemein (alle Bundesländer)
38,Die Bundesrepublik Deutschland ist ein demokratischer und sozialer...,Bundesstaat.,Staatenverbund.,Staatenbund.,Zentralstaat.,A,Allgemein (alle Bundesländer)
39,Was hat jedes deutsche Bundesland?,eine eigene Regierung,einen eigenen Außenminister,eine eigene Währung,eine eigene Armee,A,Allgemein (alle Bundesländer)
40,Mit welchen Worten beginnt die deutsche Nationalhymne?,Einigkeit und Recht und Freiheit ...,"Völker, hört die Signale ...",Freude schöner Götterfunken ...,Deutschland einig Vaterland ...,A,Allgemein (alle Bundesländer)
41,Warum gibt es in einer Demokratie mehr als eine Partei?,weil dadurch die unterschiedlichen Meinungen der Bürger vertreten werden,damit Bestechung in der Politik begrenzt wird,um politische Demonstrationen zu verhindern,um wirtschaftlichen Wettbewerb anzuregen,A,Allgemein (alle Bundesländer)
42,Wer beschließt in Deutschland ein neues Gesetz?,das Parlament,die Regierung,die Gerichte,die Polizei,A,Allgemein (alle Bundesländer)
43,Wann kann in Deutschland eine Partei verboten werden?,wenn sie gegen die Verfassung kämpft,wenn ihr Wahlkampf zu teuer ist,wenn sie Kritik am Staatsoberhaupt äußert,wenn ihr Programm eine neue Richtung vorschlägt,A,Allgemein (alle Bundesländer)
44,Wen kann man als Bürger in Deutschland nicht direkt wählen?,den Bundespräsidenten / die Bundespräsidentin,Abgeordnete des EU-Parlaments,Landtagsabgeordnete,Bundestagsabgeordnete,A,Allgemein (alle Bundesländer)
45,Zu welcher Versicherung gehört die Pflegeversicherung?,Sozialversicherung,Unfallversicherung,Hausratversicherung,Haftpflicht- und Feuerversicherung,A,Allgemein (alle Bundesländer)
46,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,Er baut Straßen und Schulen.,Er verkauft Lebensmittel und Kleidung.,Er versorgt alle Einwohner kostenlos mit Zeitungen.,Er produziert Autos und Busse.,A,Allgemein (alle Bundesländer)
47,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?,Er bezahlt für alle Staatsangehörigen Urlaubsreisen.,Er zahlt Kindergeld.,Er unterstützt Museen.,Er fördert Sportler und Sportlerinnen.,A,Allgemein (alle Bundesländer)
48,Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?,die Bürgerversammlung,der Bundesrat,der Bundespräsident / die Bundespräsidentin,die Regierung,A,Allgemein (alle Bundesländer)
49,Wer bestimmt in Deutschland die Schulpolitik?,die Bundesländer,die Lehrer und Lehrerinnen,das Familienministerium,die Universitäten,A,Allgemein (alle Bundesländer)
50,Die Wirtschaftsform in Deutschland nennt man...,soziale Marktwirtschaft.,freie Zentralwirtschaft.,gelenkte Zentralwirtschaft.,Planwirtschaft.,A,Allgemein (alle Bundesländer)
51,Zu einem demokratischen Rechtsstaat gehört es nicht dass...,Menschen von einer Privatpolizei ohne Grund verhaftet werden.,Menschen sich kritisch über die Regierung äußern können.,Bürger friedlich demonstrieren gehen dürfen.,jemand ein Verbrechen begeht und deshalb verhaftet wird.,A,Allgemein (alle Bundesländer)
52,Was bedeutet Volkssouveränität? Alle Staatsgewalt geht vom...,Volke aus.,Bundestag aus.,preußischen König aus.,Bundesverfassungsgericht aus.,A,Allgemein (alle Bundesländer)
53,Was bedeutet Rechtsstaat in Deutschland?,Der Staat muss die Gesetze einhalten.,Der Staat hat Recht.,Es gibt nur rechte Parteien.,Die Bürger entscheiden über Gesetze.,A,Allgemein (alle Bundesländer)
54,Was ist keine staatliche Gewalt in Deutschland? (2),Direktive,Legislative,Judikative,Exekutive,A,Allgemein (alle Bundesländer)
55,Was zeigt dieses Bild? (Bundestagssitz),den Bundestagssitz in Berlin,das Bundesverfassungsgericht in Karlsruhe,das Bundesratsgebäude in Berlin,das Bundeskanzleramt in Berlin,A,Allgemein (alle Bundesländer)
56,Welches Amt gehört in Deutschland zur Gemeindeverwaltung?,Ordnungsamt,Pfarramt,Finanzamt,Auswärtiges Amt,A,Allgemein (alle Bundesländer)
57,Wer wird meistens zum Präsidenten des Deutschen Bundestages gewählt?,ein Abgeordneter der stärksten Fraktion,der älteste Abgeordnete im Parlament,der Ministerpräsident des größten Bundeslandes,ein ehemaliger Bundeskanzler,A,Allgemein (alle Bundesländer)
58,Wer ernennt in Deutschland die Minister der Bundesregierung?,der Bundespräsident / die Bundespräsidentin,der Präsident des Bundesverfassungsgerichtes,der Bundesratspräsident,der Bundestagspräsident,A,Allgemein (alle Bundesländer)
59,Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,vor etwa 1700 Jahren,vor etwa 300 Jahren,vor etwa 700 Jahren,vor etwa 1150 Jahren,A,Allgemein (alle Bundesländer)
60,In Deutschland gehören der Bundestag und der Bundesrat zur...,Legislative.,Exekutive.,Direktive.,Judikative.,A,Allgemein (alle Bundesländer)
61,Was bedeutet Volkssouveränität? (2),Die Staatsgewalt geht vom Volke aus.,Der König herrscht über das Volk.,Das Bundesverfassungsgericht steht über der Verfassung.,Die Interessenverbände üben die Souveränität aus.,A,Allgemein (alle Bundesländer)
62,Wenn das Parlament eines deutschen Bundeslandes gewählt wird nennt man das...,Landtagswahl.,Kommunalwahl.,Europawahl.,Bundestagswahl.,A,Allgemein (alle Bundesländer)
63,Was gehört in Deutschland nicht zur Exekutive?,die Gerichte,die Polizei,das Finanzamt,die Ministerien,A,Allgemein (alle Bundesländer)
64,Die Bundesrepublik Deutschland ist heute gegliedert in...,"Bund, Länder und Kommunen.",vier Besatzungszonen.,einen Oststaat und einen Weststaat.,16 Kantone.,A,Allgemein (alle Bundesländer)
65,Es gehört nicht zu den Aufgaben des Deutschen Bundestages...,das Bundeskabinett zu bilden.,Gesetze zu entwerfen.,die Bundesregierung zu kontrollieren.,den Bundeskanzler zu wählen.,A,Allgemein (alle Bundesländer)
66,Welche Städte haben die größten jüdischen Gemeinden in Deutschland?,Berlin und München,Hamburg und Essen,Nürnberg und Stuttgart,Worms und Speyer,A,Allgemein (alle Bundesländer)
67,Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?,Schulpolitik,Verteidigungspolitik,Außenpolitik,Wirtschaftspolitik,A,Allgemein (alle Bundesländer)
68,Warum kontrolliert der Staat in Deutschland das Schulwesen?,weil es nach dem Grundgesetz seine Aufgabe ist,weil es in Deutschland nur staatliche Schulen gibt,weil alle Schüler einen Schulabschluss haben müssen,weil es in den Bundesländern verschiedene Schulen gibt,A,Allgemein (alle Bundesländer)
69,Wie heißt die unterste politische Stufe im deutschen Verwaltungsaufbau?,Gemeinden und Kommunen,Stadträte,Landräte,Bezirksämter,A,Allgemein (alle Bundesländer)
70,Was gehört zu den Aufgaben des deutschen Bundespräsidenten?,Er schlägt den Kanzler zur Wahl vor.,Er führt die Regierungsgeschäfte.,Er kontrolliert die Regierungspartei.,Er wählt die Minister aus.,A,Allgemein (alle Bundesländer)
71,Wo hält sich der deutsche Bundeskanzler am häufigsten auf?,"in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","auf Schloss Meseberg, dem Gästehaus der Bundesregierung.","auf Schloss Bellevue, dem Amtssitz des Bundespräsidenten.",A,Allgemein (alle Bundesländer)
72,Wie heißt der jetzige Bundeskanzler von Deutschland?,Olaf Scholz,Gerhard Schröder,Jürgen Rüttgers,Klaus Wowereit,A,Allgemein (alle Bundesländer)
73,Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit...,CDU/CSU und SPD.,Die Linke und Bündnis 90/Die Grünen.,FDP und SPD.,Die Linke und FDP.,A,Allgemein (alle Bundesländer)
74,Wie heißt das Parlament für ganz Deutschland?,Bundestag,Bundesversammlung,Volkskammer,Bundesgerichtshof,A,Allgemein (alle Bundesländer)
75,Wie heißt Deutschlands heutiges Staatsoberhaupt?,Frank-Walter Steinmeier,Norbert Lammert,Wolfgang Thierse,Edmund Stoiber,A,Allgemein (alle Bundesländer)
76,Was bedeutet die Abkürzung CDU in Deutschland?,Christlich Demokratische Union,Christliche Deutsche Union,Club Deutscher Unternehmer,Christlicher Deutscher Umweltschutz,A,Allgemein (alle Bundesländer)
77,Was ist die Bundeswehr?,die deutsche Armee,die deutsche Polizei,ein deutscher Hafen,eine deutsche Bürgerinitiative,A,Allgemein (alle Bundesländer)
78,Was bedeutet die Abkürzung SPD?,Sozialdemokratische Partei Deutschlands,Sozialistische Partei Deutschlands,Sozialpolitische Partei Deutschlands,Sozialgerechte Partei Deutschlands,A,Allgemein (alle Bundesländer)
79,Was bedeutet die Abkürzung FDP in Deutschland?,Freie Demokratische Partei,Friedliche Demonstrative Partei,Freie Deutschland Partei,Führende Demokratische Partei,A,Allgemein (alle Bundesländer)
80,Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?,Bundesverfassungsgericht,Oberlandesgericht,Amtsgericht,Verwaltungsgericht,A,Allgemein (alle Bundesländer)
81,Wer wählt den Bundeskanzler in Deutschland?,der Bundestag,der Bundesrat,die Bundesversammlung,das Volk,A,Allgemein (alle Bundesländer)
82,Wer leitet das deutsche Bundeskabinett?,der Bundeskanzler / die Bundeskanzlerin,der Bundestagspräsident,der Bundespräsident,der Bundesratspräsident,A,Allgemein (alle Bundesländer)
83,Wer wählt den deutschen Bundeskanzler? (2),der Bundestag,das Volk,die Bundesversammlung,die Bundesregierung,A,Allgemein (alle Bundesländer)
84,Welche Hauptaufgabe hat der deutsche Bundespräsident?,repräsentiert das Land.,regiert das Land.,entwirft die Gesetze.,überwacht die Einhaltung der Gesetze.,A,Allgemein (alle Bundesländer)
85,Wer bildet den deutschen Bundesrat?,die Regierungsvertreter der Bundesländer,die Abgeordneten des Bundestages,die Minister der Bundesregierung,die Parteimitglieder,A,Allgemein (alle Bundesländer)
86,Wer wählt in Deutschland den Bundespräsidenten?,die Bundesversammlung,der Bundesrat,das Bundesparlament,das Bundesverfassungsgericht,A,Allgemein (alle Bundesländer)
87,Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?,der Bundespräsident / die Bundespräsidentin,der Bundeskanzler / die Bundeskanzlerin,der Bundesratspräsident,der Bundestagspräsident,A,Allgemein (alle Bundesländer)
88,Die parlamentarische Opposition im Deutschen Bundestag...,kontrolliert die Regierung.,"entscheidet, wer Bundesminister wird.","bestimmt, wer im Bundesrat sitzt.",schlägt die Regierungschefs der Länder vor.,A,Allgemein (alle Bundesländer)
89,Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?,Fraktion,Verband,Ältestenrat,Opposition,A,Allgemein (alle Bundesländer)
90,Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch...,den Bundesrat.,die Bundesversammlung.,den Bundestag.,die Bundesregierung.,A,Allgemein (alle Bundesländer)
91,In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird...,"schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.","schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.","leichter, wenn dadurch neue Parteien in den Bundesrat kommen.","leichter, wenn es sich um ein reiches Bundesland handelt.",A,Allgemein (alle Bundesländer)
92,Was bedeutet die Abkürzung CSU in Deutschland?,Christlich Soziale Union,Christlich Sichere Union,Christlich Süddeutsche Union,Christlich Sozialer Unternehmerverband,A,Allgemein (alle Bundesländer)
93,"Je mehr Zweitstimmen eine Partei bei einer Bundestagswahl bekommt, desto...",mehr Sitze erhält die Partei im Parlament.,weniger Erststimmen kann sie haben.,mehr Direktkandidaten der Partei ziehen ins Parlament ein.,größer ist das Risiko eine Koalition bilden zu müssen.,A,Allgemein (alle Bundesländer)
94,Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?,18,16,21,23,A,Allgemein (alle Bundesländer)
95,Was gilt für die meisten Kinder in Deutschland?,Schulpflicht,Wahlpflicht,Schweigepflicht,Religionspflicht,A,Allgemein (alle Bundesländer)
96,Wie kann jemand der den Holocaust leugnet bestraft werden?,mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe,Kürzung sozialer Leistungen,bis zu 100 Sozialstunden,"gar nicht, Holocaustleugnung ist erlaubt",A,Allgemein (alle Bundesländer)
97,Was bezahlt man in Deutschland automatisch wenn man fest angestellt ist?,Sozialversicherung,Sozialhilfe,Kindergeld,Wohngeld,A,Allgemein (alle Bundesländer)
98,Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln...,kann die Regierung ihre Mehrheit verlieren.,dürfen sie nicht mehr an den Sitzungen teilnehmen.,muss der Bundespräsident zuvor sein Einverständnis geben.,dürfen die Wähler dieser Abgeordneten noch einmal wählen.,A,Allgemein (alle Bundesländer)
99,Wer bezahlt in Deutschland die Sozialversicherungen?,Arbeitgeber und Arbeitnehmer gemeinsam,nur Arbeitnehmer,alle Staatsangehörigen,nur Arbeitgeber,A,Allgemein (alle Bundesländer)
100,Was gehört nicht zur gesetzlichen Sozialversicherung?,die Lebensversicherung,die gesetzliche Rentenversicherung,die Arbeitslosenversicherung,die Pflegeversicherung,A,Allgemein (alle Bundesländer)
101,Gewerkschaften sind Interessenverbände der...,Arbeitnehmer und Arbeitnehmerinnen.,Jugendlichen.,Rentner und Rentnerinnen.,Arbeitgeber und Arbeitgeberinnen.,A,Allgemein (alle Bundesländer)
102,Womit kann man in der Bundesrepublik Deutschland für besondere Leistungen geehrt werden?,Bundesverdienstkreuz,Bundesadler,Vaterländischen Verdienstorden,Ehrentitel Held der Deutschen Demokratischen Republik,A,Allgemein (alle Bundesländer)
103,Was wird in Deutschland als Ampelkoalition bezeichnet?,"Zusammenarbeit von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung",Bundestagsfraktionen von CDU und CSU,"Zusammenarbeit von CSU, Die LINKE und Bündnis 90/Die Grünen",Bundestagsfraktionen von CDU und SPD,A,Allgemein (alle Bundesländer)
104,Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,Die Frau bekommt ein Kind und ihr Chef weiß das.,Die Frau ist lange krank und arbeitsunfähig.,Die Frau kam oft zu spät zur Arbeit.,Die Frau erledigt private Sachen während der Arbeitszeit.,A,Allgemein (alle Bundesländer)
105,Was ist eine Aufgabe von Wahlhelfern in Deutschland?,Sie zählen die Stimmen nach dem Ende der Wahl.,Sie helfen alten Menschen bei der Stimmabgabe.,Sie schreiben die Wahlbenachrichtigungen vor der Wahl.,Sie geben Zwischenergebnisse an die Medien weiter.,A,Allgemein (alle Bundesländer)
106,Was ist eine Aufgabe von Wahlhelfern in Deutschland? (2),Sie zählen die Stimmen nach dem Ende der Wahl.,Sie helfen Kindern und alten Menschen beim Wählen.,Sie schreiben Karten mit der Angabe des Wahllokals.,Sie geben Zwischenergebnisse an Journalisten weiter.,A,Allgemein (alle Bundesländer)
107,Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,4 Jahre,2 Jahre,6 Jahre,8 Jahre,A,Allgemein (alle Bundesländer)
108,Bei einer Bundestagswahl in Deutschland darf jeder wählen der...,Bürger der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.,in der Bundesrepublik Deutschland wohnt und wählen möchte.,seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.,Bürger der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.,A,Allgemein (alle Bundesländer)
109,Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?,alle vier Jahre,alle drei Jahre,alle fünf Jahre,alle sechs Jahre,A,Allgemein (alle Bundesländer)
110,Für wie viele Jahre wird der Bundestag in Deutschland gewählt? (2),4 Jahre,2 Jahre,3 Jahre,5 Jahre,A,Allgemein (alle Bundesländer)
111,Welche Handlung mit Bezug auf den Staat Israel ist in Deutschland verboten?,Der öffentliche Aufruf zur Vernichtung Israels.,Die Politik Israels öffentlich kritisieren.,Das Aufhängen einer israelischen Flagge auf dem Privatgrundstück.,Eine Diskussion über die Politik Israels.,A,Allgemein (alle Bundesländer)
112,Die Wahlen in Deutschland sind...,geheim.,speziell.,berufsbezogen.,geschlechtsabhängig.,A,Allgemein (alle Bundesländer)
113,Wahlen in Deutschland gewinnt die Partei die...,die meisten Stimmen bekommt.,die meisten Männer mehrheitlich gewählt haben.,die meisten Stimmen bei den Arbeitern bekommen hat.,die meisten Erststimmen für ihren Kanzlerkandidaten erhalten hat.,A,Allgemein (alle Bundesländer)
114,An demokratischen Wahlen in Deutschland teilzunehmen ist...,ein Recht.,eine Pflicht.,ein Zwang.,eine Last.,A,Allgemein (alle Bundesländer)
115,Was bedeutet aktives Wahlrecht in Deutschland?,Man kann wählen.,Man kann gewählt werden.,Man muss wählen gehen.,Man muss zur Auszählung der Stimmen gehen.,A,Allgemein (alle Bundesländer)
116,Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen heißt das...,aktives Wahlrecht.,aktive Wahlkampagne.,aktives Wahlverfahren.,aktiver Wahlkampf.,A,Allgemein (alle Bundesländer)
117,Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen um in den Deutschen Bundestag gewählt zu werden?,5 %,3 %,4 %,6 %,A,Allgemein (alle Bundesländer)
118,Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?,alle Menschen,nur Deutsche,nur Israelis,nur religiöse Menschen,A,Allgemein (alle Bundesländer)
119,Wahlen in Deutschland sind frei. Was bedeutet das? (2),Jede Person kann ohne Zwang entscheiden ob und wen sie wählen möchte.,Alle verurteilten Straftäter dürfen nicht wählen.,Wenn ich wählen gehen möchte muss mein Arbeitgeber mir frei geben.,Ich kann frei entscheiden wo ich wählen gehen möchte.,A,Allgemein (alle Bundesländer)
120,Das Wahlsystem in Deutschland ist ein...,Mehrheits- und Verhältniswahlrecht.,Zensuswahlrecht.,Dreiklassenwahlrecht.,allgemeines Männerwahlrecht.,A,Allgemein (alle Bundesländer)
121,Eine Partei möchte in den Deutschen Bundestag. Sie muss einen Mindestanteil an Wählerstimmen haben. Das heißt...,5 %-Hürde.,Zulassungsgrenze.,Basiswert.,Richtlinie.,A,Allgemein (alle Bundesländer)
122,Welchem Grundsatz unterliegen Wahlen in Deutschland?,"frei, gleich, geheim.","offen, sicher, frei.","geschlossen, gleich, sicher.","sicher, offen, freiwillig.",A,Allgemein (alle Bundesländer)
123,Was ist in Deutschland die 5 %-Hürde?,Mindestanteil an Wählerstimmen um ins Parlament zu kommen,Abstimmungsregelung im Bundestag für kleine Parteien,Anwesenheitskontrolle im Bundestag für Abstimmungen,Anwesenheitskontrolle im Bundesrat für Abstimmungen,A,Allgemein (alle Bundesländer)
124,Die Bundestagswahl in Deutschland ist die Wahl...,des Parlaments für Deutschland.,des Bundeskanzlers / der Bundeskanzlerin.,der Parlamente der Länder.,des Bundespräsidenten / der Bundespräsidentin.,A,Allgemein (alle Bundesländer)
125,In einer Demokratie ist eine Funktion von regelmäßigen Wahlen...,nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.,die Bürger zu zwingen ihre Stimme abzugeben.,im Land bestehende Gesetze beizubehalten.,den Armen mehr Macht zu geben.,A,Allgemein (alle Bundesländer)
126,Was bekommen wahlberechtigte Bürger in Deutschland vor einer Wahl?,eine Wahlbenachrichtigung von der Gemeinde,eine Wahlerlaubnis vom Bundespräsidenten,eine Benachrichtigung von der Bundesversammlung,eine Benachrichtigung vom Pfarramt,A,Allgemein (alle Bundesländer)
127,Warum gibt es die 5 %-Hürde im Wahlgesetz der Bundesrepublik Deutschland?,weil viele kleine Parteien die Regierungsbildung erschweren.,weil die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.,weil die Bürger bei vielen kleinen Parteien die Orientierung verlieren können.,weil die kleinen Parteien nicht so viel Geld haben.,A,Allgemein (alle Bundesländer)
128,Parlamentsmitglieder die von den Bürgern gewählt werden nennt man...,Abgeordnete.,Kanzler / Kanzlerinnen.,Botschafter / Botschafterinnen.,Ministerpräsidenten / Ministerpräsidentinnen.,A,Allgemein (alle Bundesländer)
